Coffee Shop,Rating,Review Count,City,Neighborhood,Place ID,Google Maps Link,Types,Hours
Gilly Brewing Co.,4.8,852,Stone Mountain,,ChIJAbi5azuv9YgRHAB_BFzo0TE,https://maps.google.com/?cid=3589905859901063196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, tea_house, sandwich_shop, cafe, restaurant, food_store, food, store, point_of_interest, establishment",Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: Closed
Stone Mountain Coffee Roasters,4.8,6,Stone Mountain,,ChIJLV5xeTuv9YgRYdKm5mW4Myo,https://maps.google.com/?cid=3040976921206116961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"tea_store, tea_house, food_store, store, food, point_of_interest, establishment",
Jacobs Java Espresso and Smoothies Drive Thru,4.9,545,Marietta,,ChIJH0I1Z0YR9YgRgcB8m8Xy76Y,https://maps.google.com/?cid=12029100060261007489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, ice_cream_shop, hot_dog_stand, sandwich_shop, american_restaurant, mexican_restaurant, meal_takeaway, dessert_shop, confectionery, cafe, manufacturer, restaurant, food_store, store, food, point_of_interest, establishment",Monday: Closed | Tuesday: 10:30 AM – 7:00 PM | Wednesday: 10:30 AM – 7:00 PM | Thursday: 10:30 AM – 7:00 PM | Friday: 10:30 AM – 7:00 PM | Saturday: 10:30 AM – 5:00 PM | Sunday: Closed
The Cenacle Coffee & Bistro,4.4,1247,Austell,,ChIJSUHly1ki9YgRGZSxXpguA-o,https://maps.google.com/?cid=16862372661763871769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, bistro, coffee_shop, catering_service, cafe, breakfast_restaurant, meal_takeaway, food_delivery, sandwich_shop, food_store, store, food, point_of_interest, service, establishment",Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: Closed | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: 7:00 AM – 4:00 PM | Sunday: 8:30 AM – 4:00 PM
D'Cuban Cafe,4.5,1204,Norcross,Gwinnett Village,ChIJMepXAiuh9YgRxQxxEbipJg0,https://maps.google.com/?cid=947631379639766213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"cuban_restaurant, caribbean_restaurant, latin_american_restaurant, breakfast_restaurant, coffee_shop, brunch_restaurant, cafe, sandwich_shop, food_store, restaurant, food, store, point_of_interest, establishment",Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 9:00 AM – 7:00 PM | Sunday: 10:00 AM – 6:00 PM
El Cafecito @ Taco Shop Tucker,5,41,Tucker,,ChIJtUbPw1en9YgRKQaitXIr40M,https://maps.google.com/?cid=4891801391928051241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",Monday: 6:00 AM – 8:00 PM | Tuesday: 6:00 AM – 8:00 PM | Wednesday: 6:00 AM – 8:00 PM | Thursday: 6:00 AM – 8:00 PM | Friday: 6:00 AM – 8:00 PM | Saturday: 6:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM
Crema Espresso Gourmet,4.6,953,Dunwoody,,ChIJJ3-1iEgK9YgRaZeLBAD9xUA,https://maps.google.com/?cid=4667414765357471593&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"cafe, salad_shop, pastry_shop, sandwich_shop, coffee_shop, dessert_shop, confectionery, bakery, food_store, restaurant, food, store, point_of_interest, establishment",Monday: 7:30 AM – 4:00 PM | Tuesday: 7:30 AM – 4:00 PM | Wednesday: 7:30 AM – 4:00 PM | Thursday: 7:30 AM – 4:00 PM | Friday: 7:30 AM – 4:00 PM | Saturday: 7:30 AM – 4:00 PM | Sunday: 7:30 AM – 4:00 PM
Sanyos Coffee and Bakery,4.6,260,Norcross,,ChIJe7Rpls2h9YgRthpoCe-RvXA,https://maps.google.com/?cid=8123809758687271606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, point_of_interest, store, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 9:00 AM – 7:00 PM | Sunday: 10:00 AM – 4:00 PM
Douceur De France - Bakery & Brunch,4.9,16684,Marietta,,ChIJO6Bu6aEW9YgROazj5lci390,https://maps.google.com/?cid=15987534963119729721&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"bakery, cafe, breakfast_restaurant, brunch_restaurant, french_restaurant, bistro, cake_shop, pastry_shop, wholesaler, dessert_shop, confectionery, food_store, store, manufacturer, restaurant, food, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 6:00 PM | Sunday: 9:00 AM – 3:30 PM
Marietta Proper,4.6,635,Marietta,,ChIJyXUjrHEV9YgRheooHx0Hkvk,https://maps.google.com/?cid=17983444083702033029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"wine_bar, cocktail_bar, bar, restaurant, food, point_of_interest, establishment",Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 10:00 PM
